"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 113 ,"",Precinct 113,"","",""
Registration & Turnout ,"","2,047 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","844 41.23% Write In, if any ",5 ,"",0.65%
Absentee Turnout ,"",20 0.98% Total... ,771 ,"",100.00%
Provisional Turnout ,"",27 1.32%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"",891 43.53% Mike Panetta ,345 ,"",48.39%
Democratic Registration & Turnout ,"","1,940 John J. Forster ",246 ,"",34.50%
Election Day Turnout ,"",825 42.53% James S. Bubar ,110 ,"",15.43%
Absentee Turnout ,"","20 1.03% Write In, if any ",12 ,"",1.68%
Provisional Turnout ,"",27 1.39% Total... ,713 ,"",100.00%
Total... ,"",872 44.95% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","",(Final)
Republican Registration & Turnout ,"","89 Write In, if any ",7 ,"",100.00%
Election Day Turnout ,"",18 20.22% Total... ,7 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"","",(Final)
"","",David W. Kranich ,10 ,"",55.56%
Total... ,"","18 20.22% Write In, if any ",8 ,"",44.44%
DC Statehood Green Party Registration & Turnout ,"",18 Total... ,18 ,"",100.00%
Election Day Turnout ,"",1 5.56%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",7 ,"",100.00%
Total... ,"",1 5.56% Total... ,7 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",28 3.35% Marcus Skelton ,13 ,"",86.67%
Eleanor Holmes Norton ,"","808 96.54% Write In, if any ",2 ,"",13.33%
"Write In, if any ","",1 0.12% Total... ,15 ,"",100.00%
Total... ,"",837 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",2 ,"",100.00%
Vincent Orange ,"",19 2.20% Total... ,2 ,"",100.00%
Adrian Fenty ,"",424 49.19% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","7 0.81% Write In, if any ",2 ,"",100.00%
Linda Cropp ,"",348 40.37%,"","",""
Artee (RT) Milligan ,"",0 0.00% Total... ,2 ,"",100.00%
Marie Johns ,"",64 7.42% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","0 0.00% Write In, if any ",1 ,"",100.00%
"Write In, if any ","",0 0.00% Total... ,1 ,"",100.00%
Total... ,"",862 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,0 ,"",0.00%
Vincent C. Gray ,"","701 82.76% Write In, if any ",1 ,"",100.00%
Kathy Patterson ,"",145 17.12% Total... ,1 ,"",100.00%
"Write In, if any ","",1 0.12%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",847 100.00%,"","",""
"","","Write In, if any ",1 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,1 ,"",100.00%
Phil Mendelson ,"",424 51.39%,"","",""
A. Scott Bolden ,"",397 48.12% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",4 0.48% Ann C. Wilcox ,0 ,"",0.00%
"","","Write In, if any ",0,"",""
Total... ,"",825 100.00% ,"","",0.00%
"","",Total... ,0 ,"",0.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",586 76.01% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",180 23.35% Joyce Robinson-Paul ,0 ,"",0.00%
