"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 11 ,"",Precinct 11,"",""
Registration & Turnout ,"","3,754 DEM - WARD THREE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",1105 29.44% Sam Brooks 115 ,"",10.97%
Absentee Turnout ,"",28 0.75% Erik S. Gaull 58 ,"",5.53%
Provisional Turnout ,"",17 0.45% Eric Goulet 36 ,"",3.44%
Total... ,"","1,150 30.63% Cathy Wiss 37 ","",3.53%
"","",Mary M. Cheh 390 ,"",37.21%
Democratic Registration & Turnout ,"","2,846 Robert Gordon 39 ","",3.72%
Election Day Turnout ,"","1037 36.44% Write In, if any 1 ","",0.10%
Absentee Turnout ,"",27 0.95%,"",""
Provisional Turnout ,"","17 Total... 1,048 0.60%","",100.00%
Total... ,"","1,081 37.98% DEM - UNITED STATES SENATOR ","",(Final)
"","",Michael D. Brown 491 ,"",66.98%
Republican Registration & Turnout ,"",854 Philip Pannell 223 ,"",30.42%
Election Day Turnout ,"","65 7.61% Write In, if any 19 ","",2.59%
Absentee Turnout ,"",1 0.12%,"",""
Provisional Turnout ,"",0 Total... 733 0.00%,"",100.00%
Total... ,"",66 7.73% DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
"","",Mike Panetta 398 ,"",60.49%
DC Statehood Green Party Registration & Turnout ,"",54 John J. Forster 110 ,"",16.72%
Election Day Turnout ,"",3 5.56% James S. Bubar 130 ,"",19.76%
Absentee Turnout ,"","0 0.00% Write In, if any 20 ","",3.04%
Provisional Turnout ,"",0 0.00%,"",""
"","",Total... 658 ,"",100.00%
Total... ,"",3 5.56%,"",""
"","",REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","(Final) Write In, if any 9 ","",100.00%
Andy Miscuk ,"",129 12.46%,"",""
Eleanor Holmes Norton ,"",894 Total... 9 86.38%,"",100.00%
"Write In, if any ","",12 1.16% REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"","1,035 100.00% David W. Kranich 53 ","",82.81%
"","","Write In, if any 11 ","",17.19%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final),"",""
Vincent Orange ,"",7 Total... 64 0.65%,"",100.00%
Adrian Fenty ,"",597 55.59% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Michael A. Brown ,"","5 0.47% Write In, if any 10 ","",100.00%
Linda Cropp ,"",329 30.63% Total... 10 ,"",100.00%
Artee (RT) Milligan ,"",1 0.09%,"",""
Marie Johns ,"",129 REP - AT-LARGE MEMBER OF THE COUNCIL 12.01%,"",(Final)
Nestor Djonkam ,"",2 0.19% Marcus Skelton 59 ,"",95.16%
"Write In, if any ","","4 0.37% Write In, if any 3 ","",4.84%
Total... ,"","1,074 100.00% Total... 62 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) REP - WARD THREE MEMBER OF THE COUNCIL ,"",(Final)
Vincent C. Gray ,"",252 24.37% Theresa Conroy 58 ,"",92.06%
Kathy Patterson ,"","777 75.15% Write In, if any 5 ","",7.94%
"Write In, if any ","",5 0.48% Total... 63 ,"",100.00%
Total... ,"","1,034 100.00% REP - UNITED STATES SENATOR ","",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 7 ","",100.00%
Phil Mendelson ,"",845 86.67% Total... 7 ,"",100.00%
A. Scott Bolden ,"",127 13.03% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","3 0.31% Write In, if any 7 ","",100.00%
Total... ,"",975 100.00% Total... 7 ,"",100.00%
DEM - WARD THREE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Bill Rice ,"","46 4.39% Write In, if any 2 ","",100.00%
Paul Strauss ,"",317 30.25%,"",""
Jonathan Rees ,"",9 0.86% Total... 2 ,"",100.00%
