"",Primary Election,"",""
"","September 12, 2006","",""
"",Subdivision Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
City of Washington Ward 3 ,City of Washington Ward 3,"",""
DEM - WARD THREE MEMBER OF THE COUNC(I1L7) ,17/17 100.00% SG - CHAIRMAN OF THE COUNCIL (17) ,17/17 ,100.00%
Eric Goulet ,"490 3.36% Write In, if any ",22 ,100.00%
Cathy Wiss ,"1,158 7.93% Total... ",22 ,100.00%
Mary M. Cheh ,"6,462 44.28% SG - AT-LARGE MEMBER OF THE COUNCIL (17) ",17/17 ,100.00%
Robert Gordon ,"1,159 7.94% Ann C. Wilcox ",29 ,70.73%
"Write In, if any ","15 0.10% Write In, if any ",12 ,29.27%
Total... ,"14,594 100.00% Total... ",41 ,100.00%
DEM - UNITED STATES SENATOR (17) ,17/17 100.00% SG - WARD THREE MEMBER OF THE COUNCIL(17) ,17/17 ,100.00%
Michael D. Brown ,"6,529 69.00% Write In, if any ",28 ,100.00%
Philip Pannell ,"2,648 27.98% Total... ",28 ,100.00%
"Write In, if any ",286 3.02%,"",""
Total... ,"9,463 100.00% SG - UNITED STATES SENATOR (17) ",17/17 ,100.00%
DEM - UNITED STATES REPRESENTATIVE (17) ,17/17 100.00% Joyce Robinson-Paul ,33 ,94.29%
"","Write In, if any ",2 ,5.71%
Mike Panetta ,"4,579 55.62% Total... ",35 ,100.00%
John J. Forster ,"1,446 17.56%","",""
James S. Bubar ,"1,872 22.74% SG - UNITED STATES REPRESENTATIVE (17) ",17/17 ,100.00%
"Write In, if any ",336 4.08% Keith R. Ware ,31 ,88.57%
Total... ,"8,233 100.00% Write In, if any ",4 ,11.43%
REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E7)S ,17/17 100.00% Total... ,35 ,100.00%
"Write In, if any ",129 100.00%,"",""
Total... ,129 100.00%,"",""
REP - MAYOR OF THE DISTRICT OF COLUMBI(A17) ,17/17 100.00%,"",""
David W. Kranich ,509 72.51%,"",""
"Write In, if any ",193 27.49%,"",""
Total... ,702 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL (17) ,17/17 100.00%,"",""
"Write In, if any ",157 100.00%,"",""
Total... ,157 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL (17) ,17/17 100.00%,"",""
Marcus Skelton ,566 90.27%,"",""
"Write In, if any ",61 9.73%,"",""
Total... ,627 100.00%,"",""
REP - WARD THREE MEMBER OF THE COUNC(I1L7) ,17/17 100.00%,"",""
Theresa Conroy ,577 85.10%,"",""
"Write In, if any ",101 14.90%,"",""
Total... ,678 100.00%,"",""
REP - UNITED STATES SENATOR (17) ,17/17 100.00%,"",""
"Write In, if any ",62 100.00%,"",""
Total... ,62 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE (17) ,17/17 100.00%,"",""
"Write In, if any ",74 100.00%,"",""
Total... ,74 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPR(E17S)E ,17/17 100.00%,"",""
"Write In, if any ",22 100.00%,"",""
Total... ,22 100.00%,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA(17) ,17/17 100.00%,"",""
Chris Otten ,21 51.22%,"",""
"Write In, if any ",20 48.78%,"",""
Total... ,41 100.00%,"",""
